,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Puerto Ayora,25,EC,1578376035,82,-0.74,-90.35,75.99,3.0
1,High Level,5,CA,1578376035,66,58.52,-117.13,-29.2,4.7
2,Chokurdakh,0,RU,1578376035,89,70.62,147.9,-22.09,3.83
3,Vila Velha,75,BR,1578376035,74,-3.71,-38.6,86.0,4.7
4,Mogadishu,40,SO,1578376035,69,2.04,45.34,82.4,16.11
5,San Quintin,0,PH,1578376036,57,17.54,120.52,84.69,6.42
6,Mount Gambier,40,AU,1578376036,39,-37.83,140.78,80.6,16.11
7,Taft,97,PH,1578376036,84,11.9,125.42,79.61,9.95
8,Bone,66,DE,1578376036,84,51.97,12.14,37.0,9.17
9,New Norfolk,75,AU,1578376036,59,-42.78,147.06,71.01,12.75
10,Te Anau,82,NZ,1578376037,81,-45.41,167.72,49.53,5.66
11,Avarua,20,CK,1578376037,83,-21.21,-159.78,80.6,2.24
12,Bluff,100,AU,1578376037,37,-23.58,149.07,89.31,12.19
13,Ketchikan,88,US,1578376037,85,55.34,-131.65,25.3,2.95
14,Hamilton,20,CA,1578375917,73,43.26,-79.87,32.0,8.05
15,Murupara,84,NZ,1578376037,55,-38.46,176.71,73.0,1.99
16,Iguape,5,BR,1578376037,93,-24.7,-47.56,71.51,2.66
17,Punta Arenas,90,CL,1578375759,87,-53.16,-70.91,51.8,9.17
18,Tasiilaq,100,GL,1578376038,95,65.61,-37.64,21.24,21.72
19,Olinda,90,AU,1578376038,77,-37.84,145.39,71.01,14.99
20,Qazigund,94,IN,1578376038,98,33.59,75.17,27.66,8.14
21,Mar del Plata,85,AR,1578375865,45,-46.43,-67.52,66.72,18.03
22,Mataura,84,NZ,1578376038,75,-46.19,168.86,55.0,13.0
23,Rikitea,21,PF,1578376038,78,-23.12,-134.97,77.16,15.32
24,Castro,75,CL,1578376038,87,-42.48,-73.76,53.6,12.75
25,Bethel,1,US,1578376039,75,60.79,-161.76,-16.6,8.05
26,Dikson,100,RU,1578376039,96,73.51,80.55,5.7,4.94
27,Ayan,0,IR,1578376039,58,38.23,44.7,19.31,5.12
28,Butaritari,100,KI,1578376039,76,3.07,172.79,85.3,16.24
29,Taltal,1,CL,1578376039,89,-25.41,-70.49,59.9,2.19
30,Yeppoon,40,AU,1578376039,45,-23.13,150.74,87.8,12.75
31,Longyearbyen,78,NO,1578376039,61,78.22,15.63,12.2,31.09
32,Zhob,18,PK,1578376040,55,31.34,69.45,44.15,7.16
33,Kapustin Yar,100,RU,1578376040,65,48.58,45.77,31.03,6.55
34,Chacabuco,0,AR,1578376040,84,-34.64,-60.47,55.0,1.99
35,Lavrentiya,94,RU,1578376040,98,65.58,-170.99,-8.23,3.27
36,Samokov,20,MK,1578376040,68,41.68,21.15,26.6,8.05
37,Veraval,90,FR,1578376040,100,49.65,0.71,46.4,6.93
38,Salalah,0,OM,1578376040,69,17.01,54.1,77.0,5.82
39,Hilo,40,US,1578376041,64,19.71,-155.08,75.99,5.82
40,Laguna,90,BZ,1578376041,94,16.17,-88.94,69.8,2.04
41,Quatre Cocos,40,MU,1578376041,83,-20.21,57.76,84.2,3.36
42,Airai,51,TL,1578376041,49,-8.93,125.41,83.25,5.77
43,Esperance,0,AU,1578376041,7,-33.86,121.89,104.0,14.99
44,Ushuaia,75,AR,1578375903,71,-54.81,-68.31,53.6,5.82
45,Namibe,45,AO,1578376041,81,-15.19,12.15,72.21,6.44
46,Georgetown,63,GY,1578376042,94,6.8,-58.16,71.6,4.7
47,Bredasdorp,100,ZA,1578376042,68,-34.53,20.04,69.8,12.75
48,Talaya,75,RU,1578376042,92,55.79,84.89,21.0,8.95
49,Mansehra,100,PK,1578376042,98,34.33,73.2,36.73,3.31
50,Ilo,31,PE,1578376043,88,-17.65,-71.34,71.82,9.01
51,Chany,97,RU,1578376043,95,55.31,76.76,9.36,6.53
52,Vaini,40,IN,1578376043,65,15.34,74.49,78.8,6.93
53,Kaitangata,0,NZ,1578376043,52,-46.28,169.85,57.0,10.0
54,Eskisehir,90,TR,1578375963,100,39.78,30.52,33.8,2.24
55,Sambava,73,MG,1578376043,63,-14.27,50.17,86.23,1.41
56,Bima,98,ID,1578376044,66,-8.45,118.73,84.43,6.58
57,Busselton,0,AU,1578376044,12,-33.64,115.35,95.0,15.03
58,Jamame,90,SO,1578376044,81,0.07,42.75,82.38,18.5
59,Puerto Palomas,1,US,1578376044,34,31.78,-107.63,35.6,4.7
60,Rocha,17,UY,1578376044,93,-34.48,-54.34,59.0,4.14
61,Victoria,75,BN,1578375891,66,5.28,115.24,89.6,2.24
62,Bonito,100,BR,1578376044,97,-1.36,-47.3,73.44,2.73
63,Saldanha,100,PT,1578376045,79,41.42,-6.55,35.28,3.2
64,Vila Franca do Campo,75,PT,1578376045,93,37.72,-25.43,64.4,6.93
65,Bilma,18,NE,1578376045,31,18.69,12.92,48.24,14.63
66,Ahipara,99,NZ,1578376045,64,-35.17,173.16,66.99,3.0
67,Pec,14,DE,1578376045,100,49.4,12.83,34.0,2.24
68,Tabou,0,CI,1578376045,79,4.42,-7.36,67.24,3.6
69,Brigantine,1,US,1578376045,51,39.41,-74.36,42.8,5.82
70,Cape Town,96,ZA,1578375922,64,-33.93,18.42,71.01,5.82
71,Yellowknife,75,CA,1578376046,74,62.45,-114.38,-25.01,5.82
72,Jamestown,0,AU,1578376046,27,-33.21,138.6,86.9,1.88
73,Pevek,0,RU,1578376046,66,69.7,170.27,-8.55,6.71
74,Gat,100,SN,1578376046,17,14.69,-16.54,66.2,18.34
75,Arraial do Cabo,31,BR,1578376046,90,-22.97,-42.02,77.88,5.79
76,Hobart,75,AU,1578376046,59,-42.88,147.33,71.01,12.75
77,Hofn,100,IS,1578376046,96,64.25,-15.21,39.36,27.09
78,Port Alfred,84,ZA,1578376047,97,-33.59,26.89,71.01,1.99
79,Sao Joao da Barra,100,BR,1578375786,89,-21.64,-41.05,77.09,12.19
80,Qaanaaq,33,GL,1578376047,83,77.48,-69.36,-21.57,5.77
81,Cabo San Lucas,5,MX,1578375763,88,22.89,-109.91,69.01,4.7
82,Lagoa,0,PT,1578376047,93,37.14,-8.45,52.0,6.93
83,Kruisfontein,100,ZA,1578376047,90,-34.0,24.73,65.98,9.08
84,Saint-Philippe,90,CA,1578376047,92,45.36,-73.48,28.0,10.29
85,Leh,100,IN,1578376047,70,34.16,77.58,8.92,2.84
86,Cabedelo,20,BR,1578376048,89,-6.97,-34.84,77.0,3.36
87,Pacific Grove,1,US,1578376048,57,36.62,-121.92,52.0,8.05
88,Aksarka,38,RU,1578376048,86,66.56,67.8,4.78,12.66
89,Sisimiut,22,GL,1578375946,68,66.94,-53.67,-18.18,15.86
90,Fairbanks,20,US,1578376011,65,64.84,-147.72,-25.01,0.38
91,Sao Filipe,98,CV,1578376048,66,14.9,-24.5,68.05,18.88
92,Chuy,21,UY,1578376048,86,-33.69,-53.46,64.74,5.75
93,Qaqortoq,33,GL,1578376049,34,60.72,-46.03,1.4,9.17
94,Praia da Vitoria,40,PT,1578376049,88,38.73,-27.07,64.4,21.05
95,Nioro,75,GM,1578376049,19,13.79,-15.05,60.49,9.31
96,Cedar City,1,US,1578376049,73,37.68,-113.06,26.6,3.36
97,Comodoro Rivadavia,93,AR,1578376049,48,-45.87,-67.48,64.4,23.04
98,Atuona,55,PF,1578376049,70,-9.8,-139.03,80.98,11.56
99,Poum,0,MK,1578376050,62,41.28,20.71,23.0,5.82
100,Osorno,64,CL,1578376050,98,-40.57,-73.14,47.01,4.56
101,Mawlamyine,0,MM,1578376050,51,16.49,97.63,85.66,5.7
102,Nome,75,US,1578376050,88,30.04,-94.42,64.4,5.82
103,Lebu,40,ET,1578376050,71,8.96,38.73,59.74,2.59
104,Huarmey,9,PE,1578376050,86,-10.07,-78.15,66.87,1.72
105,Tiksi,100,RU,1578376050,86,71.64,128.87,-3.32,11.88
106,Tigil,0,RU,1578376051,77,57.8,158.67,3.34,3.76
107,Hasaki,75,JP,1578376051,61,35.73,140.83,48.2,6.93
108,Saint-Augustin,90,CA,1578376051,92,45.63,-73.98,28.0,10.29
109,Albany,75,US,1578376051,69,42.65,-73.75,36.0,19.46
110,Nemuro,20,JP,1578376051,70,43.32,145.57,32.0,5.82
111,Geraldton,75,CA,1578376051,78,49.72,-86.95,8.6,4.7
112,Barrow,0,AR,1578376051,74,-38.31,-60.23,54.63,8.12
113,Souillac,90,FR,1578376051,93,45.6,-0.6,45.0,6.93
114,Tuatapere,97,NZ,1578376052,75,-46.13,167.69,55.0,13.0
115,Atar,2,MR,1578376052,17,20.52,-13.05,48.18,8.03
116,Yate,74,GB,1578376052,93,51.54,-2.41,48.2,11.41
117,Green River,1,US,1578376052,53,41.53,-109.47,30.0,46.08
118,San Policarpo,97,PH,1578376052,84,12.18,125.51,79.61,9.95
119,Avera,1,US,1578376052,93,33.19,-82.53,51.8,5.82
120,Acapulco,5,MX,1578376053,83,16.86,-99.88,77.0,4.7
121,Faanui,85,PF,1578376053,80,-16.48,-151.75,81.23,18.05
